ID,K_shell_value
238346334,1
2384071,1
239411196,1
2396677714,1
2401374210,1
240664869,1
24112401,1
241382835,1
24149001,1
2415918252,1
241654941,1
24167314,1
242567007,1
243905905,1
24490456,1
2450894937,1
245243839,1
245849058,1
2467551354,1
248186795,1
2483000368,1
24852465,1
248883264,1
2492711598,1
2492917412,1
2498274386,1
2507907734,1
250831586,1
2529971,1
253340075,1
253500322,1
2538115178,1
25382562,1
2543588034,1
254783152,1
2549031829,1
255747911,1
256360738,1
2563909904,1
256781040,1
258896042,1
259215762,1
2592160667,1
2596145105,1
259725229,1
259925559,1
2602158362,1
26090319,1
2611834718,1
26149295,1
261598082,1
262909861,1
263800151,1
26492874,1
26493787,1
265099639,1
26565946,1
26589987,1
26598593,1
2678072634,1
27042513,1
27096905,1
271292659,1
2715115656,1
271690376,1
27260086,1
272760181,1
273176656,1
273557471,1
274328258,1
2745557490,1
2750127259,1
275799277,1
27711339,1
277276900,1
2797521996,1
280500432,1
28059115,1
2806267256,1
2833268733,1
28409997,1
285332860,1
285509764,1
2864117853,1
2869103344,1
2871627629,1
28753531,1
288333760,1
2893511188,1
293154916,1
293196728,1
29406343,1
295610884,1
2956121356,1
295740548,1
296338717,1
2992054909,1
300645437,1
30183485,1
3021340697,1
30271564,1
3038925132,1
304150259,1
305694283,1
3059859970,1
3061898660,1
3080761,1
309133460,1
3094485998,1
309669413,1
310172617,1
3105133073,1
3131144855,1
3140530768,1
31611298,1
317708215,1
318218531,1
3220885052,1
32453930,1
325830217,1
326184301,1
32623294,1
32717570,1
32775800,1
328369614,1
328576792,1
32939851,1
3303531875,1
33141453,1
3327720838,1
3333052551,1
33394729,1
3351760203,1
3367805001,1
3374231,1
3382415499,1
33836629,1
3397145679,1
3408650422,1
343512172,1
344183143,1
344634424,1
344801362,1
34507480,1
34940114,1
3496641,1
350224247,1
35031708,1
350334760,1
35214545,1
35309981,1
353394176,1
35348026,1
353960403,1
354464050,1
357839393,1
35936474,1
35982046,1
3644811674,1
36571263,1
365822838,1
366592246,1
366935179,1
36790140,1
36823,1
368448364,1
36935647,1
3739172836,1
375246970,1
377326135,1
377723724,1
38281180,1
38379055,1
384855296,1
38592915,1
391037985,1
3911719575,1
39330733,1
393436815,1
39357410,1
394581283,1
39710060,1
3980884039,1
398092540,1
398107992,1
399674608,1
402938330,1
406935165,1
409089061,1
412781038,1
4132841,1
4140881832,1
415750721,1
417615653,1
418,1
420512951,1
424277262,1
42587296,1
42610327,1
426738834,1
4274372981,1
42836999,1
43107557,1
4338481,1
4348237453,1
43532023,1
438301250,1
43831437,1
4405311267,1
440993196,1
441428868,1
44177383,1
44196397,1
443215941,1
44409004,1
44949890,1
45022448,1
45025729,1
451649471,1
45452226,1
455003792,1
4607065693,1
462104542,1
467823431,1
47285504,1
47363263,1
474948835,1
47539748,1
47711346,1
477802917,1
47786101,1
47916280,1
48008938,1
481461757,1
48631266,1
492399548,1
49465463,1
499781930,1
500849404,1
50393960,1
505516379,1
50750339,1
507672047,1
50768962,1
50780389,1
50811932,1
50875746,1
51219631,1
512700138,1
515980805,1
521721536,1
524427375,1
5252591,1
52551600,1
52939106,1
53085019,1
531346364,1
532241033,1
53269717,1
533085085,1
533202479,1
53853197,1
542666345,1
543533194,1
54412900,1
545235190,1
547922610,1
552121630,1
55687338,1
55964332,1
565919881,1
5668942,1
56783491,1
56864092,1
57304101,1
57374779,1
5763262,1
581123710,1
586,1
588707774,1
59084417,1
600584047,1
60550677,1
606211203,1
607152697,1
60865434,1
610533,1
610555568,1
611986351,1
61228608,1
61318104,1
614246029,1
61762271,1
624056226,1
625378411,1
6273552,1
635604793,1
63770845,1
6427882,1
65187067,1
652193,1
6527972,1
65375759,1
66388461,1
67323353,1
67761261,1
683113,1
68418583,1
68746721,1
69436408,1
700217389,1
70502952,1
70831441,1
71512330,1
736843656,1
739293,1
73992972,1
7401202,1
74130577,1
75401545,1
756227808,1
756278,1
75962440,1
75974281,1
76722822,1
7745472,1
779452,1
79293791,1
794329,1
7954452,1
7997312,1
802295798,1
802751,1
805185025,1
81170936,1
813286,1
817288,1
817668451,1
818238024,1
81857654,1
820585,1
823083,1
830685463,1
833988769,1
835377572,1
836279665,1
83649051,1
842089302,1
84279963,1
84351228,1
84542880,1
86742779,1
87118217,1
87318558,1
873334429,1
89760824,1
901371,1
90484508,1
91798218,1
91942557,1
92424604,1
924854030,1
92498317,1
92720796,1
929211084,1
93131556,1
932429090,1
932446861,1
932821405,1
9349172,1
94166168,1
9534522,1
953776388,1
963480595,1
9729502,1
97893963,1
983562338,1
996994538,1
