,friends_in_dataset
undefinedrocks,2
bennkuru,2
hodgman,14
AyushiBurman,0
golu_a,3
CRJCrawfordNZ,1
gjmarx,4
gregoriklosman,2
Mebane92,3
kellykellman,0
MarketsHill,3
trevorhlund,1
raenashirali,3
Retweetologist,1
addyosmani,0
CelinaJaitly,14
jephoi23,0
qamrookha7,2
TextualOffender,2
MartaFdezJurjo,0
Speaker_Central,0
SiddharthDeswal,2
rsn,1
shaicohen1,3
theartofsaving,1
NarendraPatil63,0
sakshijain23_,1
Syamant,2
samyra_md,6
mertkilickaya_,10
MarleeMatlin,16
ndennis_benn,4
whotookadnan,1
mattpitman,6
AmiitGautam,0
levelsio,0
devonpj,0
AniDave11,0
tabishhk,1
ADFFilms,0
PaulBarba_,1
Woslove,8
PtRajanSharma,7
shobhitbanga,5
lsanz_iasp,0
DennyTapia,0
udaynirgudkar,5
BillyRowley,5
colddirt,0
TIENSindonesian,0
ipriyanksharmaa,1
JRobbinsMD,1
OHCHR_MENA,3
MikeLuttermoser,1
b_kleiban,5
sheyllabs,9
JesseLakes,0
KotechaDr,3
shahzerkhan,7
AnnCoulter,2
nlpnoah,0
sushmarajput12,0
LinkedIn,0
heather_desorbo,0
JackWilshere,10
SushilModi,0
mayankistwittin,9
mr_rcollins,1
KranichHS,2
rehanasrehman,9
etokki,1
BoniSatani,1
shagunsodhani,3
NYCITI_India,1
Rkbahadur1,5
ACAjaccio,0
Nanobiosym,1
kawasaki__aya,0
PlantPolarity,0
jaketapper,7
SearchCandy,4
ChinaRealTime,0
AvtarFateh,0
mgmnair,1
nandibull,13
guptajn1001,2
Guiyze,7
bose_joey,2
pradeepsethi,2
george_szirtes,1
sidharth__am22,0
vidyaiyengarblr,0
ningarajbjp,0
ProFootballTalk,1
StoryTelnHacker,6
DawnLSturgeon,1
HermiesTV,2
vishalrajfilms,6
Lorth,3
knowvinay,8
The_NewArab,0
mirianfrsilva,2
Nafeesmeah,0
RamsingPatil,2
sanjaykanvinde,1
chintan_acharya,1
bradfitz,6
dannyjeffers,4
rohinthampi,1
TanayaRamyani,5
jayantgajria,0
TeezaJo,5
VNesH40YCnWRZng,2
