username,Acquaintance-Affinity Score AA ( j )
sushmarajput12,0
heather_desorbo,0
mayankistwittin,0
EFNilesh1212,0
JFemiCole,0
mr_rcollins,0
rehanasrehman,0
NYCITI_India,0
Rkbahadur1,0
Himanshimatta,0
ACAjaccio,0
IoTReadiness,0
Nanobiosym,0
kawasaki__aya,0
David_Eccles,0
PlantPolarity,0
saum98,0
SearchCandy,0
AvtarFateh,0
mgmnair,0
jay_gurumurthy,0
guptajn1001,0
Guiyze,0
Trinitek,0
SujitSe98018197,0
pradeepsethi,0
george_szirtes,0
sidharth__am22,0
vidyaiyengarblr,0
ningarajbjp,0
sranjitETIG,0
DawnLSturgeon,0
HermiesTV,0
vishalrajfilms,0
Lorth,0
knowvinay,0
mirianfrsilva,0
Nafeesmeah,0
RamsingPatil,0
BotJunkie,0
sanjaykanvinde,0
chintan_acharya,0
gokul_rgk_05,0
dannyjeffers,0
TanayaRamyani,0
jayantgajria,0
TeezaJo,0
VNesH40YCnWRZng,0
rajdoye,0
TheSarahLeBlanc,0
CorporatShiksha,0
ohmary11,0
SicK_cs,0
GermannStefan,0
vikasbajaj,0
viziandrei,0
Chanakya_7,0
Fattiemama,0
sarkaaridoc,0
DevonNewport,0
traceyvincel,0
lisa_singh71,0
yogidholakia,0
GeoffJosey,0
mikeflannagan,0
allenthehun,0
sanjaysinghjdu,0
RainaMIRROR,0
mkverma001,0
wpkofficial,0
rgruia,0
gringreen,0
kathanmunshi,0
MominaMustehsan,0
Chitchitchit,0
AydenLincoln,0
ef_shiv,0
kittywenham,0
sahartwitt,0
_4Programmer,0
UNDPDC,0
a_dc0h,0
KayleeScott5,0
GregGoralski,0
Indianbluebook,0
Sree_Vijaykumar,0
chelsailama,0
ck8860,0
virendra79,0
UdailalAnjana,0
jaymendiratta,0
vinaykamat,0
