username,Acquaintance-Affinity-Identification Score AAI(j)
gailcollins,0
menongautham,0
delpotrojuan,0
JheneAiko,0
MrAncelotti,0
VinceMcMahon,0
VijaySethuOffl,0
waqyounis99,0
GEJonathan,0
theblackpanther,0
OfficialEl92,0
MishiAmit,0
landondonovan,0
Takomayuyi,0
emelisande,0
ChrisEriksen8,0
beatsbydre,0
ChandrakalaIas,0
shwetasinghkirt,0
PIBFactCheck,0
Nher_who,0
kalikapg,0
governorswaraj,0
imrealasim,0
skilledinodisha,0
StephanKast,0
MichaelaCoel,0
Pallamrajumm,0
SadhviPragya_MP,0
ManushiChhillar,0
YashwantSinha,0
ConorMurrayYT,0
fadnavis_amruta,0
stephen_wolfram,0
AnandSharmaINC,0
anilmdave,0
GurpreetGhuggi,0
sethuvij,0
EP_President,0
gZenaida48g,0
TheSuhaniShah,0
nik_lugi,0
Bilge_Baak1,0
DeRubeisLab,0
alanshoeford,0
MMRAW,0
Magpi_Mobile,0
essarpetrolpump,0
theage,0
SirScoots,0
SWexner,0
ch_dharambir,0
shawndolley,0
SherwinBitsui,0
newsflicks,0
bpkFEARLESS,0
hasanzaidisays,0
BournvitaIndia,0
FedericoCaivano,0
BadAssMonroex3,0
atul_deshkar,0
HotRickshawLegs,0
jeanwanwan,0
Honorglobal,0
Imuskaan22,0
CatChullain,0
ArjunShukla_,0
BobPickard,0
ZhenggangZhu,0
EliteDecks,0
fpfmusic,0
Armaanian_Aditi,0
sinanantoon,0
AwkwardMuslim,0
prichronicles,0
puigortoneda,0
noahcha,0
lderevnina,0
reach_santosh,0
CharlesRexha,0
nadiahijab,0
Cowboywriter1,0
ItamarCareca,0
DrManishDiwan,0
bipashabasusays,0
SingleForLifey,0
RadiNabulsi,0
lenagelis,0
ingridvdhburton,0
AyushiBurman,0
kellykellman,0
trevorhlund,0
Retweetologist,0
addyosmani,0
jephoi23,0
MartaFdezJurjo,0
Speaker_Central,0
shaicohen1,0
theartofsaving,0
NarendraPatil63,0
sakshijain23_,0
AmiitGautam,0
levelsio,0
devonpj,0
AniDave11,0
ADFFilms,0
lsanz_iasp,0
DennyTapia,0
colddirt,0
TIENSindonesian,0
JesseLakes,0
nlpnoah,0
sushmarajput12,0
LinkedIn,0
heather_desorbo,0
SushilModi,0
etokki,0
ACAjaccio,0
kawasaki__aya,0
PlantPolarity,0
ChinaRealTime,0
AvtarFateh,0
mgmnair,0
pradeepsethi,0
george_szirtes,0
sidharth__am22,0
vidyaiyengarblr,0
ningarajbjp,0
ProFootballTalk,0
DawnLSturgeon,0
The_NewArab,0
Nafeesmeah,0
jayantgajria,0
