User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
125733443,eric_sink,310629406.0,9.069,4.597,19.505,98.771,366.781,1.629,14.4
43107557,NSRiazat,336479853.0,34.875,153.933,23.733,163.312,43282.312,14.2,14.4
262909861,TeUruroaFlavell,280365561.0,21.671,11.978,9.754,107.506,90.506,2.263,14.4
75962440,nathenstridge,326487098.0,6.855,4.922,5.203,146.148,6311.506,2.643,14.4
1284314354,imisschalk,216182189.0,16.091,27.227,5.475,54.091,70501.152,11.692,14.4
3140530768,KllyVe,151668080.0,9.0,3.31,12.8,134.93,5348.394,1.538,14.4
89760824,JohnTory,321859978.0,294.75,84.875,26.625,38090.25,15123.625,10.75,14.4
140182966,GenesiaR,306991081.0,4.58,25.131,9.916,22.674,2126.18,1.828,14.4
18619979,balletrusse,348875707.0,24.966,5.738,8.254,490.537,306.4,1.25,14.4
3059859970,c_cadar,155192883.0,2.422,2.667,1.878,40.883,556.052,1.791,14.4
10326832,neilabercrombie,384711636.0,77.348,55.545,9.75,59.261,943.043,0.0,14.4
2869103344,thelaceylondon,164450547.0,181.692,67.231,1.5,7357.077,3374.846,2.8,14.4
3739172836,rogerjpope,137068832.0,10.56,7.0,2.0,54.692,11764.615,4.2,14.4
39330733,DevonESawa,337923886.0,294.833,37.0,209.667,177441.667,298395.333,108.833,14.4
835377572,kennygfrederick,231855765.0,2.667,1024.667,50.333,154.333,650441.333,155.333,14.4
16446177,TeamBachmann,357683290.0,25.845,15.133,7.059,39.22,493.831,0.0,14.4
2992054909,garricn,158086182.0,24.19,35.27,22.366,85.068,24680.136,17.029,14.4
3367805001,MrBoothY6,143538266.0,76.0,16.0,547.8,22253.4,2785.0,14.8,14.4
53085019,robmclennanblog,333450064.0,109.2,336.0,203.6,1388.0,91354.0,80.8,14.4
21948974,paulchowdhry,344386942.0,22.692,5.262,4.821,2253.856,812.644,4.46,14.4
60550677,nikkikaye,331308806.0,32.492,7.316,15.107,668.033,1713.45,1.8,14.4
2156089227,goodman_ang,197101764.0,14.055,12.0,30.4,136.464,8483.143,3.108,14.4
2467551354,WatsEd,181315133.0,44.636,51.091,50.773,304.364,39838.455,14.818,14.4
836279665,erinbelieu,231824896.0,48.5,236.625,119.625,1270.5,821852.0,88.0,14.4
33394729,SpeakerTrevor,339800996.0,15.733,128.533,72.133,1096.0,15215.933,22.467,14.4
2305002626,LynnMelnick,189593250.0,28.357,37.107,48.107,806.25,39777.679,13.5,14.4
21193650,iamtimdavis,345034270.0,3.424,3.271,2.442,16.293,5458.576,1.524,14.4
295740548,RealJaQuavis,275040525.0,15.239,9.811,10.303,204.38,7235.924,3.419,14.4
2450894937,JennaLucas81,183691273.0,6.571,40.914,45.171,221.886,17636.8,6.355,14.4
500849404,DonnaVekic,249988488.0,15.009,6.375,7.408,2290.071,6055.858,3.204,14.4
635604793,hegartymaths,237702585.0,11.432,49.73,25.829,400.564,292.795,12.485,14.4
1059061369,rblancopoet,222740769.0,19.771,8.306,19.769,157.552,4330.25,7.571,14.4
68418583,Doctob,328873069.0,6.5,1.0,118.808,1413.923,174.923,1.167,14.4
3303531875,AidanSevers,147021340.0,107.333,68.5,365.167,2953.167,21803.667,38.333,14.4
67323353,GelosSnake,329219508.0,24.111,26.528,39.417,468.611,22128.306,7.333,14.4
3374231,mxcl,404352432.0,13.628,3.947,12.788,1073.791,6761.279,3.069,14.4
2236298000,danalevinpoet,193475265.0,57.0,75.636,162.636,3775.727,58813.364,32.636,14.4
28409997,paulalbennett,341293471.0,17.577,25.612,16.517,869.19,2105.155,5.13,14.4
2592160667,ChelsDingman,177761257.0,27.273,199.0,64.818,2174.909,33790.636,24.273,14.4
377326135,leah_moo,263390490.0,32.24,24.12,73.12,297.44,37018.48,11.24,14.4
148872468,MaryLouMcDonald,305003305.0,50.786,128.929,51.571,55797.071,21586.429,37.0,14.4
20870409,carolinebreyley,345352402.0,8.219,63.406,29.719,88.281,2479.156,15.29,14.4
2492711598,mathsjem,180021916.0,28.077,81.538,140.0,2517.692,4793.923,23.462,14.4
531346364,MarkRPriestley,247739997.0,101.75,211.25,104.286,1339.25,321543.0,83.125,14.4
107642576,tauhenare,315767297.0,178.75,105.25,527.25,5335.75,60948.0,39.0,14.4
19188399,Adamprice,347615645.0,52.111,50.074,17.222,17919.852,6927.333,14.889,14.4
