Degree,Users-Count,Users
8.269,1,146409066
8.345,1,28753531
8.4,1,67761261
8.417,1,7954452
8.526,1,26493787
8.558,1,14689051
8.615,1,18655567
8.616,1,19318314
8.635,1,19961822
8.703,1,105533433
8.713,1,43532023
8.719,1,1855763186
8.739,1,86742779
8.742,1,245243839
8.755,1,14780493
8.777,1,953776388
8.801,1,293196728
8.817,1,19122675
8.837,1,35214545
8.875,1,238346334
8.939,1,47363263
8.972,1,15006743
9.011,1,2415918252
9.028,1,440993196
9.068,1,1969651069
9.075,1,217808673
9.154,1,9349172
9.18,1,47711346
9.19,1,38379055
9.211,1,901371
9.311,1,285509764
9.328,1,92720796
9.399,1,610555568
9.425,1,39357410
9.428,1,66388461
9.533,1,25382562
9.57,1,71512330
9.672,1,19739420
9.679,1,2871627629
9.703,1,184584860
9.725,1,607152697
9.736,1,36935647
9.738,1,21384302
9.76,1,398107992
9.802,1,983562338
9.803,1,14933304
9.819,1,145107843
9.831,1,57374779
9.833,1,14181505
9.909,1,28059115
9.992,1,1590754944
10.037,1,739293
10.084,1,353960403
10.12,1,15959875
10.13,1,21732506
10.174,1,61318104
10.253,1,581123710
10.315,1,1114681081
10.319,1,300645437
10.32,1,50780389
10.409,1,17078632
10.417,1,229433742
10.428,1,756227808
10.446,1,54412900
10.534,1,16579345
10.658,2,16388786:173857112
10.659,1,542666345
10.66,1,22657153
10.693,1,42587296
10.746,1,11791512
10.752,1,15077191
10.793,1,20035593
10.819,1,115748075
10.82,1,44949890
10.836,1,17298241
10.854,1,415750721
10.862,1,14131275
10.886,1,173734711
10.937,1,10724012
10.952,1,19017675
10.975,1,26149295
11.091,1,35309981
11.149,1,1009269193
11.237,1,12131132
11.263,1,81857654
11.269,1,92498317
11.281,1,10615232
11.291,1,17223098
11.323,1,115044590
11.352,1,524427375
11.417,1,30271564
11.503,1,106854950
11.507,1,32775800
11.559,1,14414286
11.573,1,7401202
11.635,1,1092979962
11.66,1,2293131060
11.718,1,47916280
11.753,1,1080509366
11.828,1,51219631
11.92,1,280500432
11.949,1,73992972
12.006,1,83649051
