user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
songdewnetwork,260983988.0,43.411,11.0,4.327,2431,550,212,172,80.793,132.483,3.822
imrealasim,10152252.0,23.125,44.167,2.692,370,265,35,107,261191.75,147754.875,15.286
iamharshbeniwal,303283298.0,10.635,3.48,5.591,553,87,246,64,36633.13,6436.389,2.133
kawasaki__aya,154289481.0,34.667,315.333,10.778,312,2838,97,527,15045.111,70533.0,58.556
IndrajitSasmal1,72601420.0,7.867,12.4,11.607,118,186,325,86,6.207,16283.793,7.818
jasonnash,338797713.0,11.267,2.0,9.704,338,10,262,50,84650.469,5141.312,2.5
MichaelaCoel,328066800.0,16.833,10.217,8.625,404,235,69,55,8226.6,19429.96,3.235
nickbilton,405633247.0,7.167,12.125,5.435,215,388,125,89,7001.636,210743.909,3.87
sinanantoon,323072658.0,26.074,61.889,30.593,704,1671,826,309,3389.593,31624.259,12.36
shwetasinghkirt,315982404.0,15.32,12.611,3.941,383,227,67,89,308005.867,96997.767,11.125
vgcerf,241276845.0,6.146,2.455,1.364,547,27,30,45,689.89,411.088,1.875
kennethdalglish,290584207.0,4.803,2.043,2.605,365,94,112,36,7581.215,2103.452,1.8
CalumChambers95,203405415.0,6.988,2.314,1.412,587,118,24,13,14869.694,5257.282,1.182
ChrisEriksen8,273041333.0,5.473,2.8,2.231,602,168,58,31,9213.964,1319.514,1.192
ndennis_benn,304586733.0,31.406,35.375,33.938,1005,1132,1086,435,1155.469,33320.281,13.594
KranichHS,164560682.0,9.015,7.356,8.886,613,434,622,20,226.838,3264.689,1.111
viziandrei,56962320.0,12.593,10.903,19.0,340,338,513,79,428.545,5931.818,3.591
ZellnerLaw,267694423.0,11.122,2.087,5.5,545,48,44,238,31401.115,4547.154,18.308
shahzerkhan,312126709.0,213.286,182.625,9.714,1493,1461,68,1585,13.667,518966.778,176.111
KayleeScott5,249801498.0,355.556,0.0,0.0,3200,0,0,0,7.111,1.111,0.0
rehanasrehman,337282175.0,25.169,24.259,7.432,1485,1407,327,520,54.016,166330.312,9.811
