user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Total Normal Tweets,Total Retweets,Total Replies,Total Quotes,Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month)
joshuatopolsky,380952801.0,115.333,42.6,57.467,1730,639,862,616,9917.333,467216.867,41.067
joswinson,368016978.0,42.344,24.147,30.882,1355,821,1050,629,42415.257,115069.914,19.061
jovialjoy,346782684.0,6.814,18.5,10.0,477,1369,650,560,550.624,37509.667,10.98
jpduminy21,298043892.0,10.579,15.913,8.226,1005,1464,691,275,5635.253,2585.568,4.044
jtimberlake,341988550.0,19.175,8.24,8.261,1975,824,380,414,113754.495,48709.076,6.273
jtoop,342010167.0,9.436,9.429,5.08,953,924,447,245,49.614,1606.114,5.444
JudithCollinsMP,235087994.0,61.609,32.348,45.652,1417,744,1050,776,6422.783,23635.217,33.739
juliannehough,356948098.0,32.425,8.056,4.657,2594,435,163,63,11438.075,4032.887,2.864
justinbieber,341738318.0,26.913,17.18,7.711,1857,1048,293,322,2161608.797,1075719.159,6.44
JustineGreening,227690499.0,14.894,33.831,1.706,983,2199,29,336,2257.894,7161.409,6.109
k4sh_7,193059639.0,68.333,87.333,21.333,205,524,64,0,20.375,196774.25,0.0
k8em0,363833542.0,129.167,153.0,258.833,775,918,1553,855,13868.833,247586.667,142.5
KAKA,331221274.0,19.366,1.756,15.983,2169,79,959,99,28254.557,10676.661,2.475
KAndersonATP,337796147.0,14.146,5.861,6.64,1740,715,591,185,5634.0,2728.453,3.304
karaswisher,401722058.0,177.25,233.0,401.75,709,932,1607,433,80232.5,299774.0,108.25
karengillan,245736677.0,21.94,9.81,6.841,1843,775,561,366,88977.595,28768.488,5.903
KarenPBuckMP,281017355.0,51.278,70.111,59.0,923,1262,1062,1134,2059.167,44005.944,63.0
karpathy,339700245.0,18.35,5.597,16.825,1468,431,1346,123,6893.2,8261.1,2.016
karriganCSGO,211817634.0,28.591,3.929,17.569,1887,220,1142,139,36347.864,1386.515,2.673
